position,value_player,value_team,value_adp,value_wins,value_proj,value_our_rank,vs_player,vs_team,vs_adp,vs_wins,vs_proj,adp_gap,win_gap,proj_diff,score
RB,Breece Hall,NYJ,41.18,5.5,159.55,56,De'Von Achane,MIA,19.69,4.5,169.55,21.49,1.0,-10.0,23.49
WR,Ladd McConkey,LAC,35.55,10.5,148.27265625,67,Garrett Wilson,NYJ,29.47,5.5,162.5859375,6.079999999999998,5.0,-14.313281249999989,23.21734375
QB,Brock Purdy,SF,95.46,10.5,261.54977528089887,63,Trevor Lawrence,JAX,77.92,9.5,254.2432584269663,17.539999999999992,1.0,7.306516853932578,23.00130337078651
WR,Rome Odunze,CHI,60.01,9.5,145.3828125,75,Emeka Egbuka,TB,38.7,8.5,157.203125,21.309999999999995,1.0,-11.8203125,22.945937499999996
WR,Jaylen Waddle,DEN,38.4,9.5,148.203125,68,Garrett Wilson,NYJ,29.47,5.5,162.5859375,8.93,4.0,-14.3828125,22.0534375
WR,Terry McLaurin,WAS,42.93,7.5,163.440625,45,Garrett Wilson,NYJ,29.47,5.5,162.5859375,13.46,2.0,0.8546875000000114,21.6309375
WR,Makai Lemon,PHI,98.76,10.5,109.7799161585366,130,Brian Thomas Jr.,JAX,79.4,9.5,124.27421875,19.36,1.0,-14.49430259146341,20.461139481707317
WR,Emeka Egbuka,TB,38.7,8.5,157.203125,55,Garrett Wilson,NYJ,29.47,5.5,162.5859375,9.230000000000004,3.0,-5.3828125,20.153437500000003
RB,Bhayshul Tuten,JAX,73.65,9.5,140.71428571428572,79,Bucky Irving,TB,58.28,8.5,153.3,15.370000000000005,1.0,-12.585714285714289,16.852857142857147
WR,DeVonta Smith,PHI,24.93,10.5,172.5390625,34,Chris Olave,NO,20.86,7.5,178.60859375,4.07,3.0,-6.069531250000011,14.856093749999998
RB,James Cook III,BUF,18.73,10.5,222.05,9,Jonathan Taylor,IND,12.23,8.5,229.3,6.5,2.0,-7.25,13.05
TE,Dalton Kincaid,BUF,114.46,10.5,100.10377358490568,92,Jake Ferguson,DAL,106.51,9.5,100.58490566037736,7.949999999999989,1.0,-0.48113207547167747,11.853773584905653
QB,Joe Burrow,CIN,43.54,10.5,289.5494382022472,26,Drake Maye,NE,35.08,9.5,295.3402247191011,8.46,1.0,-5.790786516853927,11.301842696629215
WR,Nico Collins,HOU,15.37,9.5,188.56171875,22,Drake London,ATL,12.29,7.5,198.4453125,3.08,2.0,-9.883593749999989,9.103281250000002
WR,A.J. Brown,NE,14.8,9.5,193.1609375,19,Justin Jefferson,MIN,9.13,8.5,198.51484375,5.67,1.0,-5.353906250000023,8.599218749999995
WR,Luther Burden III,CHI,45.18,9.5,142.71389100609755,78,Emeka Egbuka,TB,38.7,8.5,157.203125,6.479999999999997,1.0,-14.489233993902445,7.582153201219508
