player_name,position,team_abbr,ecr_overall_rank,ecr_position_rank,win_total_line
Khalil Shakir,WR,BUF,118.3,49.0,10.5
Jordan Love,QB,GB,118.48,18.0,10.5
Isaiah Likely,TE,NYG,118.63,13.0,7.5
Baker Mayfield,QB,TB,119.02,19.0,8.5
Xavier Worthy,WR,KC,122.25,50.0,10.5
Jayden Higgins,WR,HOU,122.8,51.0,9.5
Tyler Shough,QB,NO,122.87,20.0,7.5
Dallas Goedert,TE,PHI,123.8,14.0,10.5
Jonathon Brooks,RB,CAR,124.53,39.0,6.5
Jacory Croskey-Merritt,RB,WAS,124.89,40.0,7.5
Jordan Mason,RB,MIN,127.3,41.0,8.5
Romeo Doubs,WR,NE,131.65,52.0,9.5
Mark Andrews,TE,BAL,132.55,15.0,11.5
Jalen Coker,WR,CAR,133.08,53.0,6.5
Tyrone Tracy Jr.,RB,NYG,133.41,42.0,7.5
KC Concepcion,WR,CLE,134.39,54.0,5.5
Malik Willis,QB,MIA,135.83,21.0,4.5
Matthew Golden,WR,GB,137.65,55.0,10.5
Woody Marks,RB,HOU,139.02,43.0,9.5
C.J. Stroud,QB,HOU,139.76,22.0,9.5
Tyler Allgeier,RB,ARI,141.69,44.0,4.5
Sam Darnold,QB,SEA,141.69,23.0,10.5
Zach Charbonnet,RB,SEA,143.35,45.0,10.5
Tyjae Spears,RB,TEN,144.13,46.0,6.5
Dylan Sampson,RB,CLE,145.08,47.0,5.5
Chris Rodriguez Jr.,RB,JAC,145.39,48.0,
Isiah Pacheco,RB,DET,147.52,49.0,10.5
Juwan Johnson,TE,NO,148.07,16.0,7.5
Alvin Kamara,RB,NO,150.02,50.0,7.5
Rashid Shaheed,WR,SEA,150.72,56.0,10.5
Brenton Strange,TE,JAC,151.95,17.0,
Jauan Jennings,WR,MIN,153.41,57.0,8.5
Cam Ward,QB,TEN,153.47,24.0,6.5
Houston Texans,DST,HOU,153.68,1.0,9.5
Jerry Jeudy,WR,CLE,156.66,58.0,5.5
Denzel Boston,WR,CLE,157.45,59.0,5.5
Chig Okonkwo,TE,WAS,158.52,18.0,7.5
Omar Cooper Jr.,WR,NYJ,158.82,60.0,5.5
Bryce Young,QB,CAR,160.24,25.0,6.5
Stefon Diggs,WR,FA,161.41,61.0,
Daniel Jones,QB,IND,161.96,26.0,8.5
Jonah Coleman,RB,DEN,161.98,51.0,9.5
Denver Broncos,DST,DEN,162.06,2.0,9.5
Hunter Henry,TE,NE,162.95,19.0,9.5
Keaton Mitchell,RB,LAC,163.01,52.0,10.5
Oronde Gadsden II,TE,LAC,164.89,20.0,10.5
Seattle Seahawks,DST,SEA,167.65,3.0,10.5
Jalen McMillan,WR,TB,168.44,62.0,8.5
Adonai Mitchell,WR,NYJ,169.27,63.0,5.5
Los Angeles Rams,DST,LAR,169.47,4.0,11.5
Travis Hunter,WR,JAC,170.27,64.0,
Braelon Allen,RB,NYJ,170.74,53.0,5.5
Brian Robinson Jr.,RB,ATL,171.72,54.0,7.5
Tre Tucker,WR,LV,173.47,65.0,6.5
Tank Bigsby,RB,PHI,174.8,55.0,10.5
Philadelphia Eagles,DST,PHI,174.84,5.0,10.5
Dalton Schultz,TE,HOU,178.84,21.0,9.5
Tre' Harris,WR,LAC,179.67,66.0,10.5
Minnesota Vikings,DST,MIN,185.26,6.0,8.5
Brandon Aubrey,K,DAL,187.01,1.0,9.5
New England Patriots,DST,NE,187.1,7.0,9.5
Deebo Samuel Sr.,WR,FA,187.4,67.0,
Pittsburgh Steelers,DST,PIT,188.28,8.0,8.5
Ryan Flournoy,WR,DAL,188.35,68.0,9.5
Troy Franklin,WR,DEN,188.83,69.0,9.5
Jacksonville Jaguars,DST,JAC,189.18,9.0,
James Conner,RB,ARI,189.69,56.0,4.5
T.J. Hockenson,TE,MIN,189.75,22.0,8.5
Ka'imi Fairbairn,K,HOU,192.45,2.0,9.5
Kayshon Boutte,WR,NE,192.93,70.0,9.5
Antonio Williams,WR,WAS,193.62,71.0,7.5
Los Angeles Chargers,DST,LAC,194.1,10.0,10.5
Jaylin Noel,WR,HOU,194.49,72.0,9.5
Cameron Dicker,K,LAC,195.49,3.0,10.5
Emmett Johnson,RB,KC,196.3,57.0,10.5
Jacoby Brissett,QB,ARI,196.64,27.0,4.5
Cam Little,K,JAC,198.9,4.0,
Kimani Vidal,RB,LAC,200.05,58.0,10.5
Isaac TeSlaa,WR,DET,200.54,73.0,10.5
Emanuel Wilson,RB,SEA,200.88,59.0,10.5
Jason Myers,K,SEA,201.28,5.0,10.5
Green Bay Packers,DST,GB,201.44,11.0,10.5
Mike Washington Jr.,RB,LV,202.74,60.0,6.5
Ray Davis,RB,BUF,203.78,61.0,10.5
Calvin Ridley,WR,TEN,203.94,74.0,6.5
Jalen Nailor,WR,LV,204.68,75.0,6.5
Baltimore Ravens,DST,BAL,204.95,12.0,11.5
Darnell Mooney,WR,NYG,207.59,76.0,7.5
Kenyon Sadiq,TE,NYJ,208.2,23.0,5.5
Eddy Pineiro,K,SF,208.71,6.0,10.5
Tyler Loop,K,BAL,208.72,7.0,11.5
Brandon Aiyuk,WR,SF,209.22,77.0,10.5
Cleveland Browns,DST,CLE,209.65,13.0,5.5
AJ Barner,TE,SEA,210.4,24.0,10.5
Kansas City Chiefs,DST,KC,210.51,14.0,10.5
Pat Bryant,WR,DEN,212.02,78.0,9.5
Sean Tucker,RB,TB,212.6,62.0,8.5
Evan McPherson,K,CIN,213.28,8.0,10.5
Nicholas Singleton,RB,TEN,213.7,63.0,6.5
Dontayvion Wicks,WR,PHI,213.83,79.0,10.5
Malik Washington,WR,MIA,214.08,80.0,4.5
Cairo Santos,K,CHI,214.77,9.0,9.5
Greg Dulcich,TE,MIA,214.84,25.0,4.5
Detroit Lions,DST,DET,216.28,15.0,10.5
Gunnar Helm,TE,TEN,216.67,26.0,6.5
Andy Borregales,K,NE,218.05,10.0,9.5
Kaytron Allen,RB,WAS,218.49,64.0,7.5
Chimere Dike,WR,TEN,222.62,81.0,6.5
Chase McLaughlin,K,TB,223.56,11.0,8.5
Buffalo Bills,DST,BUF,224.6,16.0,10.5
Aaron Rodgers,QB,PIT,225.26,28.0,8.5
Jake Bates,K,DET,225.36,12.0,10.5
Tank Dell,WR,HOU,225.86,82.0,9.5
Tyreek Hill,WR,FA,227.89,83.0,
Cooper Kupp,WR,SEA,228.53,84.0,10.5
Germie Bernard,WR,PIT,228.85,85.0,8.5
Jaylen Wright,RB,MIA,229.65,65.0,4.5
Harrison Mevis,K,LAR,231.8,13.0,11.5
Rashod Bateman,WR,BAL,233.8,86.0,11.5
Geno Smith,QB,NYJ,235.16,29.0,5.5
De'Zhaun Stribling,WR,SF,236.69,87.0,10.5
Zachariah Branch,WR,ATL,237.14,88.0,7.5
Chris Bell,WR,MIA,237.39,89.0,4.5
Justice Hill,RB,BAL,238.07,66.0,11.5
Elic Ayomanor,WR,TEN,240.7,90.0,6.5
Ollie Gordon II,RB,MIA,242.85,67.0,4.5
Harrison Butker,K,KC,242.92,14.0,10.5
Pat Freiermuth,TE,PIT,243.24,27.0,8.5
MarShawn Lloyd,RB,GB,243.42,68.0,10.5
Cade Otton,TE,TB,244.27,28.0,8.5
Jack Bech,WR,LV,244.35,91.0,6.5
Tennessee Titans,DST,TEN,246.4,17.0,6.5
David Njoku,TE,LAC,246.57,29.0,10.5
Chris Boswell,K,PIT,246.86,15.0,8.5
Keon Coleman,WR,BUF,248.38,92.0,10.5
Cincinnati Bengals,DST,CIN,248.5,18.0,10.5
Terrance Ferguson,TE,LAR,248.7,30.0,11.5
Jake Moody,K,WAS,250.0,16.0,7.5
Elijah Sarratt,WR,BAL,250.45,93.0,11.5
Fernando Mendoza,QB,LV,250.74,30.0,6.5
Malachi Fields,WR,NYG,252.11,94.0,7.5
Christian Kirk,WR,SF,252.13,95.0,10.5
Ty Johnson,RB,BUF,253.49,69.0,10.5
Trey Benson,RB,ARI,254.0,70.0,4.5
Nick Folk,K,ATL,254.0,17.0,7.5
New York Giants,DST,NYG,254.5,19.0,7.5
Jaydon Blue,RB,DAL,254.97,71.0,9.5
Blake Grupe,K,IND,255.0,18.0,8.5
Ted Hurst III,WR,TB,255.12,96.0,8.5
Demond Claiborne,RB,MIN,255.25,72.0,8.5
Spencer Shrader,K,IND,255.5,19.0,8.5
Colby Parkinson,TE,LAR,256.2,31.0,11.5
Marvin Mims Jr.,WR,DEN,256.26,97.0,9.5
Evan Engram,TE,DEN,256.81,32.0,9.5
Trey Smack,K,GB,257.83,20.0,10.5
San Francisco 49ers,DST,SF,257.85,20.0,10.5
Isaiah Davis,RB,NYJ,257.89,73.0,5.5
Devin Neal,RB,NO,259.2,74.0,7.5
Chris Brazzell II,WR,CAR,259.67,98.0,6.5
Xavier Legette,WR,CAR,259.67,99.0,6.5
Chris Brooks,RB,GB,260.67,75.0,10.5
Atlanta Falcons,DST,ATL,261.21,21.0,7.5
DJ Giddens,RB,IND,261.41,76.0,8.5
Will Reichard,K,MIN,262.81,21.0,8.5
Tory Horton,WR,SEA,262.9,100.0,10.5
LeQuint Allen Jr.,RB,JAC,263.46,77.0,
Darius Slayton,WR,NYG,263.89,101.0,7.5
Tyler Bass,K,BUF,264.5,22.0,10.5
Kaleb Johnson,RB,PIT,264.72,78.0,8.5
Eli Stowers,TE,PHI,265.63,33.0,10.5
Mike Gesicki,TE,CIN,266.52,34.0,10.5
Andrei Iosivas,WR,CIN,266.6,102.0,10.5
George Holani,RB,SEA,267.65,79.0,10.5
Jordan James,RB,SF,267.86,80.0,10.5
Kyle Williams,WR,NE,268.05,103.0,9.5
Mason Taylor,TE,NYJ,268.37,35.0,5.5
Samaje Perine,RB,CIN,269.0,81.0,10.5
Tua Tagovailoa,QB,ATL,269.29,31.0,7.5
Keenan Allen,WR,LAC,269.29,104.0,10.5
Brandon McManus,K,FA,269.67,23.0,
Wil Lutz,K,DEN,270.69,24.0,9.5
Theo Johnson,TE,NYG,271.07,36.0,7.5
Devaughn Vele,WR,NO,271.36,105.0,7.5
Tyquan Thornton,WR,KC,271.52,106.0,10.5
Chicago Bears,DST,CHI,271.59,22.0,9.5
Mack Hollins,WR,NE,272.31,107.0,9.5
Dallas Cowboys,DST,DAL,272.71,23.0,9.5
Malik Davis,RB,DAL,273.65,82.0,9.5
New Orleans Saints,DST,NO,274.53,24.0,7.5
Daniel Carlson,K,LV,274.67,25.0,6.5
Brashard Smith,RB,KC,275.55,83.0,10.5
Michael Penix Jr.,QB,ATL,276.73,32.0,7.5
Kaelon Black,RB,SF,278.62,84.0,10.5
Kyle Juszczyk,RB,SF,279.86,85.0,10.5
Skyler Bell,WR,BUF,281.11,108.0,10.5
Najee Harris,RB,LAC,281.46,86.0,10.5
Jerome Ford,RB,WAS,281.66,87.0,7.5
Kendre Miller,RB,NO,281.7,88.0,7.5
Odell Beckham Jr.,WR,NYG,282.0,109.0,7.5
Charlie Smyth,K,NO,283.44,26.0,7.5
Hollywood Brown,WR,PHI,283.96,110.0,10.5
Seth McGowan,RB,IND,284.16,89.0,8.5
Jake Tonges,TE,SF,285.0,37.0,10.5
Indianapolis Colts,DST,IND,285.24,25.0,8.5
Ja'Kobi Lane,WR,BAL,285.4,111.0,11.5
Jahan Dotson,WR,ATL,285.93,112.0,7.5
Jake Elliott,K,PHI,286.18,27.0,10.5
Jaleel McLaughlin,RB,DEN,286.21,90.0,9.5
Emari Demercado,RB,KC,286.82,91.0,10.5
Deshaun Watson,QB,CLE,286.96,33.0,5.5
Ryan Fitzgerald,K,CAR,287.6,28.0,6.5
Shedeur Sanders,QB,CLE,290.3,34.0,5.5
Konata Mumpfield,WR,LAR,290.47,113.0,11.5
Tim Patrick,WR,NYJ,290.5,114.0,5.5
Darnell Washington,TE,PIT,290.82,38.0,8.5
Joshua Palmer,WR,BUF,291.21,115.0,10.5
Joe Mixon,RB,FA,292.1,92.0,
Devin Singletary,RB,NYG,292.4,93.0,7.5
Isaiah Bond,WR,CLE,292.47,116.0,5.5
Adam Randall,RB,BAL,292.5,94.0,11.5
Devonte Boyd,WR,FA,293.0,117.0,
Carolina Panthers,DST,CAR,293.13,26.0,6.5
Chad Ryland,K,ARI,293.4,29.0,4.5
Washington Commanders,DST,WAS,293.83,27.0,7.5
Isaac Guerendo,RB,SF,294.37,95.0,10.5
Tampa Bay Buccaneers,DST,TB,294.92,28.0,8.5
Jalen Tolbert,WR,MIA,295.07,118.0,4.5
Ben Sauls,K,NYG,296.0,30.0,7.5
Brandin Cooks,WR,FA,296.0,119.0,
Tahj Brooks,RB,CIN,296.55,96.0,10.5
Caleb Douglas,WR,MIA,297.66,120.0,4.5
Kendrick Bourne,WR,ARI,297.8,121.0,4.5
Kirk Cousins,QB,LV,298.96,35.0,6.5
Olamide Zaccheaus,WR,ATL,300.57,122.0,7.5
Oscar Delp,TE,NO,301.1,39.0,7.5
Cedric Tillman,WR,CLE,301.41,123.0,5.5
Jeremy McNichols,RB,WAS,302.2,97.0,7.5
Luke McCaffrey,WR,WAS,302.28,124.0,7.5
Bryce Lance,WR,NO,302.45,125.0,7.5
Tez Johnson,WR,TB,302.67,126.0,8.5
Calvin Austin III,WR,NYG,302.91,127.0,7.5
Eli Heidenreich,RB,PIT,302.96,98.0,8.5
Zane Gonzalez,K,MIA,303.41,31.0,4.5
Max Klare,TE,LAR,303.61,40.0,11.5
