player_name,sleeper_name,position,team,adp,adp_overall_rank,adp_pos_rank,proj_pts,rush_att,rush_yd,rush_td,rec,tar,rec_yd,rec_td,cmp,pass_att,pass_yd,pass_td
Jacory Croskey-Merritt,J. Croskey-Merritt,RB,WAS,108.0,108,37,118.0,141.0,614.0,5.0,19.0,,135.0,1.0,,,,
Kenny Gainwell,K. Gainwell,RB,TB,109.8,109,38,129.0,99.0,418.0,3.0,47.0,,355.0,2.0,,,,
Jayden Reed,J. Reed,WR,GB,110.5,110,47,137.0,12.0,68.0,,58.0,,730.0,5.0,,,,
Jonathon Brooks,J. Brooks,RB,CAR,112.0,111,39,109.0,122.0,524.0,4.0,23.0,,166.0,1.0,,,,
Bo Nix,B. Nix,QB,DEN,114.1,112,14,296.0,76.0,330.0,4.0,,,,,366.0,555.0,3768.0,26.0
Matthew Stafford,M. Stafford,QB,LAR,116.7,113,15,280.0,27.0,19.0,0.0,,,,,343.0,528.0,4033.0,32.0
Jared Goff,J. Goff,QB,DET,125.8,114,16,283.0,29.0,53.0,1.0,,,,,362.0,533.0,4104.0,30.0
Jordan Love,J. Love,QB,GB,133.3,115,17,279.0,51.0,202.0,2.0,,,,,328.0,501.0,3808.0,27.0
Tyler Shough,T. Shough,QB,NO,139.1,116,18,271.0,84.0,343.0,3.0,,,,,354.0,539.0,3666.0,22.0
Malik Willis,M. Willis,QB,MIA,139.7,117,19,270.0,125.0,712.0,5.0,,,,,271.0,419.0,2848.0,17.0
Baker Mayfield,B. Mayfield,QB,TB,142.2,118,20,275.0,63.0,306.0,2.0,,,,,343.0,526.0,3682.0,26.0
Kyler Murray,K. Murray,QB,MIN,153.2,119,21,265.0,83.0,488.0,3.0,,,,,311.0,465.0,3285.0,20.0
Sam Darnold,S. Darnold,QB,SEA,157.6,120,22,263.0,44.0,157.0,2.0,,,,,317.0,478.0,3676.0,26.0
C.J. Stroud,C. Stroud,QB,HOU,165.6,121,23,238.0,54.0,220.0,2.0,,,,,302.0,481.0,3405.0,21.0
Bryce Young,B. Young,QB,CAR,172.2,122,24,236.0,51.0,245.0,3.0,,,,,311.0,493.0,3202.0,20.0
