team_abbr,season_year,win_total_line,over_price,under_price,source
SEA,2024,7.5,,,actionnetwork.com (FanDuel, Aug 2024)
TB,2024,7.5,,,actionnetwork.com (FanDuel, Aug 2024)
TEN,2024,6.5,,,actionnetwork.com (FanDuel, Aug 2024)
WAS,2024,6.5,,,actionnetwork.com (FanDuel, Aug 2024)
ARI,2025,8.5,,,dknetwork.draftkings.com (May 2025)
ATL,2025,7.5,,,dknetwork.draftkings.com (May 2025)
BAL,2025,11.5,,,dknetwork.draftkings.com (May 2025)
BUF,2025,11.5,,,dknetwork.draftkings.com (May 2025)
CAR,2025,6.5,,,dknetwork.draftkings.com (May 2025)
CHI,2025,8.5,,,dknetwork.draftkings.com (May 2025)
CIN,2025,9.5,,,dknetwork.draftkings.com (May 2025)
CLE,2025,4.5,,,dknetwork.draftkings.com (May 2025)
DAL,2025,7.5,,,dknetwork.draftkings.com (May 2025)
DEN,2025,9.5,,,dknetwork.draftkings.com (May 2025)
DET,2025,10.5,,,dknetwork.draftkings.com (May 2025)
GB,2025,9.5,,,dknetwork.draftkings.com (May 2025)
HOU,2025,9.5,,,dknetwork.draftkings.com (May 2025)
IND,2025,7.5,,,dknetwork.draftkings.com (May 2025)
JAX,2025,7.5,,,dknetwork.draftkings.com (May 2025)
KC,2025,11.5,,,dknetwork.draftkings.com (May 2025)
LV,2025,6.5,,,dknetwork.draftkings.com (May 2025)
LAC,2025,9.5,,,dknetwork.draftkings.com (May 2025)
LAR,2025,9.5,,,dknetwork.draftkings.com (May 2025)
MIA,2025,8.5,,,dknetwork.draftkings.com (May 2025)
MIN,2025,8.5,,,dknetwork.draftkings.com (May 2025)
NE,2025,8.5,,,dknetwork.draftkings.com (May 2025)
NO,2025,6.5,,,dknetwork.draftkings.com (May 2025)
NYG,2025,5.5,,,dknetwork.draftkings.com (May 2025)
NYJ,2025,5.5,,,dknetwork.draftkings.com (May 2025)
PHI,2025,11.5,,,dknetwork.draftkings.com (May 2025)
PIT,2025,8.5,,,dknetwork.draftkings.com (May 2025)
SF,2025,10.5,,,dknetwork.draftkings.com (May 2025)
SEA,2025,8.5,,,dknetwork.draftkings.com (May 2025)
TB,2025,9.5,,,dknetwork.draftkings.com (May 2025)
TEN,2025,5.5,,,dknetwork.draftkings.com (May 2025)
WAS,2025,9.5,,,dknetwork.draftkings.com (May 2025)
ARI,2026,4.5,,,wsn.com / pff.com (current, Jul 2026)
ATL,2026,7.5,,,wsn.com / pff.com (current, Jul 2026)
BAL,2026,11.5,,,wsn.com / pff.com (current, Jul 2026)
BUF,2026,10.5,,,wsn.com / pff.com (current, Jul 2026)
CAR,2026,6.5,,,wsn.com / pff.com (current, Jul 2026)
CHI,2026,9.5,,,wsn.com / pff.com (current, Jul 2026)
CIN,2026,10.5,,,wsn.com / pff.com (current, Jul 2026)
CLE,2026,5.5,,,wsn.com / pff.com (current, Jul 2026)
DAL,2026,9.5,,,wsn.com / pff.com (current, Jul 2026)
DEN,2026,9.5,,,wsn.com / pff.com (current, Jul 2026)
DET,2026,10.5,,,wsn.com / pff.com (current, Jul 2026)
GB,2026,10.5,,,wsn.com / pff.com (current, Jul 2026)
HOU,2026,9.5,,,wsn.com / pff.com (current, Jul 2026)
IND,2026,8.5,,,wsn.com / pff.com (current, Jul 2026)
JAX,2026,9.5,,,wsn.com / pff.com (current, Jul 2026)
KC,2026,10.5,,,wsn.com / pff.com (current, Jul 2026)
LV,2026,6.5,,,wsn.com / pff.com (current, Jul 2026)
LAC,2026,10.5,,,wsn.com / pff.com (current, Jul 2026)
LAR,2026,11.5,,,wsn.com / pff.com (current, Jul 2026)
MIA,2026,4.5,,,wsn.com / pff.com (current, Jul 2026)
MIN,2026,8.5,,,wsn.com / pff.com (current, Jul 2026)
NE,2026,9.5,,,wsn.com / pff.com (current, Jul 2026)
NO,2026,7.5,,,wsn.com / pff.com (current, Jul 2026)
NYG,2026,7.5,,,wsn.com / pff.com (current, Jul 2026)
NYJ,2026,5.5,,,wsn.com / pff.com (current, Jul 2026)
PHI,2026,10.5,,,wsn.com / pff.com (current, Jul 2026)
PIT,2026,8.5,,,wsn.com / pff.com (current, Jul 2026)
SF,2026,10.5,,,wsn.com / pff.com (current, Jul 2026)
SEA,2026,10.5,,,wsn.com / pff.com (current, Jul 2026)
TB,2026,8.5,,,wsn.com / pff.com (current, Jul 2026)
TEN,2026,6.5,,,wsn.com / pff.com (current, Jul 2026)
WAS,2026,7.5,,,wsn.com / pff.com (current, Jul 2026)
