player_name,position,team,pass_yards_line,rush_yards_line,rec_yards_line,pass_tds_line,rush_tds_line,rec_tds_line,receptions_line,headshot_url
Derrick Henry,RB,BAL,,1250.5,159.5,,12.5,0.5,17.5,https://images.fantasypros.com/images/players/nfl/15514/headshot/210x210.webp
Drake London,WR,ATL,,,1150.5,,,7.5,89.5,https://images.fantasypros.com/images/players/nfl/23163/headshot/210x210.webp
Drake Maye,QB,NE,3750.5,425.5,,26.5,3.5,,,https://images.fantasypros.com/images/players/nfl/23046/headshot/210x210.webp
Emeka Egbuka,WR,TB,,,912.5,,,6.5,70.5,https://images.fantasypros.com/images/players/nfl/23062/headshot/210x210.webp
Fernando Mendoza,QB,LV,2308.5,,,12.5,,,,https://images.fantasypros.com/images/players/nfl/28013/headshot/210x210.webp
Garrett Wilson,WR,NYJ,,,1000.5,,,4.5,84.5,https://images.fantasypros.com/images/players/nfl/23072/headshot/210x210.webp
Geno Smith,QB,NYJ,2599.5,,,14.5,,,,https://images.fantasypros.com/images/players/nfl/11687/headshot/210x210.webp
George Holani,RB,SEA,,,,,,0.5,,https://images.fantasypros.com/images/players/nfl/22915/headshot/210x210.webp
George Kittle,TE,SF,,,712.5,,,5.5,,https://images.fantasypros.com/images/players/nfl/16499/headshot/210x210.webp
George Pickens,WR,DAL,,,991.5,,,7.5,75.5,https://images.fantasypros.com/images/players/nfl/22963/headshot/210x210.webp
Germie Bernard,WR,PIT,,,400.5,,,,,https://images.fantasypros.com/images/players/nfl/26039/headshot/210x210.webp
Greg Dulcich,TE,MIA,,,400.5,,,,,https://images.fantasypros.com/images/players/nfl/23153/headshot/210x210.webp
Gunnar Helm,TE,TEN,,,400.5,,,,,https://images.fantasypros.com/images/players/nfl/27109/headshot/210x210.webp
Harold Fannin Jr.,TE,CLE,,,675.5,,,,71.5,https://images.fantasypros.com/images/players/nfl/27050/headshot/210x210.webp
Hunter Henry,TE,NE,,,500.5,,,4.5,44.5,https://images.fantasypros.com/images/players/nfl/15561/headshot/210x210.webp
Isaiah Likely,TE,NYG,,,625.5,,,3.5,,https://images.fantasypros.com/images/players/nfl/23781/headshot/210x210.webp
Isiah Pacheco,RB,DET,,499.5,,,4.5,,,https://images.fantasypros.com/images/players/nfl/24333/headshot/210x210.webp
J.K. Dobbins,RB,DEN,,683.5,,,5.5,,,https://images.fantasypros.com/images/players/nfl/19245/headshot/210x210.webp
Ja'Marr Chase,WR,CIN,,11.5,1306.5,,,9.5,105.5,https://images.fantasypros.com/images/players/nfl/19788/headshot/210x210.webp
