our_rank,player_name,position,team_abbr,vor,projected_ppr_points,games_missed,team_env_adj,projection_source,ecr_overall_rank,ecr_position_rank,value_vs_adp,team_win_total,replacement_points_at_position,proj_pass_yards,proj_pass_tds,proj_rush_yards,proj_rush_tds,proj_rec_yards,proj_rec_tds,proj_receptions
22,A.J. Brown,WR,NE,44.75469712228114,195.9,0.0,0.882375,vegas_prop,14.8,8.0,-7.199999999999999,9.5,152.02767787771887,,,,,1116.5,7.5,78.5
23,Brock Bowers,TE,LV,44.41088014426208,176.3,0.0,-1.35410625,vegas_prop,20.89,2.0,-2.1099999999999994,6.5,130.53501360573793,,,,,900.5,7.5,82.5
24,Javonte Williams,RB,DAL,43.343415510621355,192.66891891891893,0.0,1.10296875,vegas_prop,47.6,17.0,23.6,9.5,150.42847215829758,,,950.5,9.5,224.5,0.5,30.337837837837835
25,Rashee Rice,WR,KC,35.26491587228113,185.32421875,0.0,1.9683750000000002,vegas_prop,21.55,12.0,-3.4499999999999993,10.5,152.02767787771887,,,,,987.5,8.0,77.1484375
26,Kenneth Walker III,RB,KC,33.53199659170242,181.5,0.0,2.4604687500000004,vegas_prop,31.6,11.0,5.600000000000001,10.5,150.42847215829758,,,913.0,7.0,299.5,0.5,30.5
27,Breece Hall,RB,NYJ,32.094496591702416,186.85,0.0,-4.32703125,vegas_prop,41.18,14.0,14.18,5.5,150.42847215829758,,,900.5,5.5,325.5,2.0,38.5
28,George Pickens,WR,DAL,30.754697122281133,181.9,0.0,0.882375,vegas_prop,18.34,10.0,-9.66,9.5,152.02767787771887,,,,,991.5,7.5,75.5
29,Nico Collins,WR,HOU,30.604697122281127,181.75,0.0,0.882375,vegas_prop,15.37,9.0,-13.63,9.5,152.02767787771887,,,,,1075.0,6.5,70.5
30,Omarion Hampton,RB,LAC,28.58199659170243,176.55,0.0,2.4604687500000004,vegas_prop,24.36,9.0,-5.640000000000001,10.5,150.42847215829758,,,925.5,7.5,192.5,1.0,27.5
31,Malik Nabers,WR,NYG,25.370978372281115,178.68828125,0.0,-1.289625,vegas_prop,39.53,21.0,8.530000000000001,7.5,152.02767787771887,,,,,1004.5,6.5,78.4765625
32,Cam Skattebo,RB,NYG,23.774361456567277,175.81486486486486,0.0,-1.61203125,vegas_prop,54.63,19.0,22.630000000000003,7.5,150.42847215829758,,,816.5,6.5,275.5,1.5,37.229729729729726
33,DeVonta Smith,WR,PHI,22.07272837228114,172.13203125,0.0,1.9683750000000002,vegas_prop,24.93,13.0,-8.07,10.5,152.02767787771887,,,,,1000.5,5.5,78.1640625
34,Chris Olave,WR,NO,20.982697122281138,174.3,0.0,-1.289625,vegas_prop,20.86,11.0,-13.14,7.5,152.02767787771887,,,,,1000.5,5.5,82.5
35,Jalen Hurts,QB,PHI,19.613020908663422,307.4039325842697,0.0,6.79089375,vegas_prop,57.14,6.0,22.14,10.5,294.58180542560626,3675.0,22.5,400.5,8.5,,,
36,Zay Flowers,WR,BAL,18.82669712228114,167.8,0.0,3.0543750000000003,vegas_prop,31.35,16.0,-4.649999999999999,11.5,152.02767787771887,,,,,975.5,5.5,74.5
37,Davante Adams,WR,LAR,18.32669712228114,167.3,0.0,3.0543750000000003,vegas_prop,48.83,24.0,11.829999999999998,11.5,152.02767787771887,,,,,800.5,9.5,60.5
38,Colston Loveland,TE,CHI,17.76794014426208,147.8,0.0,0.5029537500000001,vegas_prop,38.98,3.0,0.9799999999999969,9.5,130.53501360573793,,,,,800.5,5.5,69.5
39,David Montgomery,RB,HOU,17.124496591702407,166.45,0.0,1.10296875,vegas_prop,64.45,24.0,25.450000000000003,9.5,150.42847215829758,,,824.5,7.5,192.5,1.0,27.5
40,Joe Burrow,QB,CIN,15.448414167090437,303.2393258426967,0.0,6.79089375,vegas_prop,43.54,4.0,3.539999999999999,10.5,294.58180542560626,4265.0,32.5,163.6923076923077,1.7051282051282053,,,
41,Tee Higgins,WR,CIN,14.690697122281128,164.75,0.0,1.9683750000000002,vegas_prop,32.88,17.0,-8.119999999999997,10.5,152.02767787771887,,,,,875.0,7.5,64.5
42,Garrett Wilson,WR,NYJ,13.81069712228114,169.3,0.0,-3.461625,vegas_prop,29.47,14.0,-12.530000000000001,5.5,152.02767787771887,,,,,1000.5,4.5,84.5
43,Tetairoa McMillan,WR,CAR,13.39669712228114,167.8,0.0,-2.375625,vegas_prop,30.39,15.0,-12.61,6.5,152.02767787771887,,,,,925.5,6.5,72.5
44,Quinshon Judkins,RB,CLE,13.29449659170243,168.05,0.0,-4.32703125,vegas_prop,60.69,21.0,16.689999999999998,5.5,150.42847215829758,,,900.5,6.5,192.5,1.0,27.5
45,Emeka Egbuka,WR,TB,13.268697122281127,165.5,0.0,-0.203625,vegas_prop,38.7,20.0,-6.299999999999997,8.5,152.02767787771887,,,,,912.5,6.5,70.5
46,Matthew Stafford,QB,LAR,10.679383830011732,294.723595505618,0.0,10.537593750000001,vegas_prop,103.82,15.0,57.81999999999999,11.5,294.58180542560626,4250.0,30.5,163.6923076923077,1.7051282051282053,,,
47,Tyler Warren,TE,IND,10.248920144262076,140.9,0.0,-0.11606625000000001,vegas_prop,54.37,4.0,7.369999999999997,8.5,130.53501360573793,,,,,766.5,4.5,74.5
48,Trevor Lawrence,QB,JAX,8.550590571584758,300.088202247191,0.0,3.04419375,vegas_prop,77.92,9.0,29.92,9.5,294.58180542560626,4105.0,25.5,299.5,4.5,,,
49,George Kittle,TE,SF,8.445450710299815,137.85849056603774,0.0,1.1219737500000002,vegas_prop,105.54,10.0,56.540000000000006,10.5,130.53501360573793,,,,,712.5,5.5,67.21698113207547
50,Terry McLaurin,WR,WAS,7.98269712228114,161.3,0.0,-1.289625,vegas_prop,42.93,22.0,-7.07,7.5,152.02767787771887,,,,,925.5,5.5,71.5
51,Drake Maye,QB,NE,6.962163605292597,298.49977528089886,0.0,3.04419375,vegas_prop,35.08,3.0,-15.920000000000002,9.5,294.58180542560626,3750.5,26.5,425.5,3.5,,,
52,Ladd McConkey,WR,LAC,6.340697122281133,156.4,0.0,1.9683750000000002,vegas_prop,35.55,18.0,-16.450000000000003,10.5,152.02767787771887,,,,,881.5,5.5,70.5
53,Travis Etienne Jr.,RB,NO,6.259496591702431,158.3,0.0,-1.61203125,vegas_prop,48.23,18.0,-4.770000000000003,7.5,150.42847215829758,,,863.0,5.5,192.5,1.0,27.5
54,Jeremiyah Love,RB,ARI,5.936996591702431,162.05,0.0,-5.68453125,vegas_prop,36.96,12.0,-17.04,4.5,150.42847215829758,,,900.5,5.5,192.5,1.0,27.5
55,Kyle Pitts Sr.,TE,ATL,5.47990014426207,136.75,0.0,-0.73508625,vegas_prop,80.23,7.0,25.230000000000004,7.5,130.53501360573793,,,,,750.0,4.5,69.5
56,D'Andre Swift,RB,CHI,4.974496591702431,154.3,0.0,1.10296875,vegas_prop,62.04,23.0,6.039999999999999,9.5,150.42847215829758,,,763.0,6.5,192.5,1.0,27.5
57,Jaylen Waddle,WR,DEN,3.654697122281139,154.8,0.0,0.882375,vegas_prop,38.4,19.0,-18.6,9.5,152.02767787771887,,,,,875.5,5.5,68.5
58,Lamar Jackson,QB,BAL,3.4050018075398203,287.4492134831461,0.0,10.537593750000001,vegas_prop,33.23,2.0,-24.770000000000003,11.5,294.58180542560626,3225.5,24.5,575.5,3.5,,,
59,DJ Moore,WR,BUF,2.4406971222811276,152.5,0.0,1.9683750000000002,vegas_prop,52.98,26.0,-6.020000000000003,10.5,152.02767787771887,,,,,822.5,6.5,62.5
60,Jadarian Price,RB,SEA,2.0819965917024312,150.05,0.0,2.4604687500000004,vegas_prop,77.77,27.0,17.769999999999996,10.5,150.42847215829758,,,750.5,6.0,192.5,1.0,27.5
61,Bucky Irving,RB,TB,1.366996591702431,152.05,0.0,-0.25453125,vegas_prop,58.28,20.0,-2.719999999999999,8.5,150.42847215829758,,,800.5,5.5,192.5,1.0,27.5
62,Jameson Williams,WR,DET,1.1906971222811278,151.25,0.0,1.9683750000000002,vegas_prop,53.4,27.0,-8.600000000000001,10.5,152.02767787771887,,,,,900.0,5.5,56.5
63,Mike Evans,WR,SF,0.24069712228113915,150.3,0.0,1.9683750000000002,vegas_prop,52.22,25.0,-10.780000000000001,10.5,152.02767787771887,,,,,800.5,6.5,62.5
64,Tony Pollard,RB,TEN,-1.348003408297569,152.05,0.0,-2.9695312499999997,vegas_prop,82.67,28.0,18.67,6.5,150.42847215829758,,,800.5,5.5,192.5,1.0,27.5
65,Travis Kelce,TE,KC,-1.6130398557379328,127.8,0.0,1.1219737500000002,vegas_prop,100.93,9.0,35.93000000000001,10.5,130.53501360573793,,,,,675.5,4.5,66.5
66,Harold Fannin Jr.,TE,CLE,-1.6367112843093639,130.87142857142857,0.0,-1.9731262500000002,vegas_prop,76.1,6.0,10.099999999999994,5.5,130.53501360573793,,,,,675.5,4.595238095238095,71.5
67,Rome Odunze,WR,CHI,-2.845302877718861,148.3,0.0,0.882375,vegas_prop,60.01,29.0,-6.990000000000002,9.5,152.02767787771887,,,,,800.5,6.5,58.5
68,Caleb Williams,QB,CHI,-3.5595217879657977,287.97808988764046,0.0,3.04419375,vegas_prop,68.22,7.0,0.21999999999999886,9.5,294.58180542560626,4000.0,24.5,374.5,2.5,,,
69,Jared Goff,QB,DET,-3.926529653134376,283.8643820224719,0.0,6.79089375,vegas_prop,108.61,16.0,39.61,10.5,294.58180542560626,4050.5,29.5,163.6923076923077,1.7051282051282053,,,
70,TreVeyon Henderson,RB,NE,-4.275503408297569,145.05,0.0,1.10296875,vegas_prop,60.7,22.0,-9.299999999999997,9.5,150.42847215829758,,,700.5,6.5,192.5,0.5,27.5
71,Alec Pierce,WR,IND,-4.431302877718861,147.8,0.0,-0.203625,vegas_prop,77.25,33.0,6.25,8.5,152.02767787771887,,,,,900.5,5.5,49.5
72,Courtland Sutton,WR,DEN,-5.395302877718873,145.75,0.0,0.882375,vegas_prop,77.29,34.0,5.290000000000006,9.5,152.02767787771887,,,,,775.0,6.5,58.5
73,Bhayshul Tuten,RB,JAX,-5.425503408297574,143.9,0.0,1.10296875,vegas_prop,73.65,25.0,0.6500000000000057,9.5,150.42847215829758,,,719.0,5.5,192.5,1.0,27.5
74,Dak Prescott,QB,DAL,-7.094915046392748,284.4426966292135,0.0,3.04419375,vegas_prop,79.81,10.0,5.810000000000002,9.5,294.58180542560626,4300.0,27.5,163.6923076923077,1.7051282051282053,,,
